AuditDate,Casino Code,Casino Name,Serial Number,Slot Number,manufacturer,Description,Par,Eprom ID,Denomination,Area,Section,Loc,Coin In,Coin Out,Elec Bill Drop,Elec Ticket Drop,Metered Att Paid Prog,Metered Machine Paid Prog,JP Hand Pay,Metered Att Paid CC,Elec Ticket Out,Game Start,Slot Revenue,FreePlay,Net Revenue,Days Online,Class II vs. Class III
6/14/2019 0:00,1,Choctaw Casino Grant,CHG2019,59107,CASTLE HILL,NEON DIAMONDS,4.4699998,24.1.2,0.05,B    ,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Grant,CHG2021,59122,CASTLE HILL,PLATINUM EXPRESS,5.5900002,24.1.2,0.5,E    ,29,8,2197,2049.5,581,2849.4,0,0,0,0,3223.86,2052,147.5,25,122.5,1,Class II
6/14/2019 0:00,1,Choctaw Casino Poteau,CHG1054,59010,CASTLE HILL,SWEET THANG IFP,5,1.0.5.0,0.01,A    ,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class III
6/14/2019 0:00,1,Choctaw Casino Poteau,CHG1056,59012,CASTLE HILL,QUACKTASTIC IFP,5,1.0.5.0,0.01,A    ,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class III
6/14/2019 0:00,1,Choctaw Casino Poteau,CHG1058,59014,CASTLE HILL,CASH HOPPER IFP,5,1.0.2.0,0.01,A    ,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class III
6/14/2019 0:00,1,Choctaw Casino Poteau,CHG1059,59005,CASTLE HILL,SWEET THANG,8,1.0.2.0,0.01,A    ,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class III
6/14/2019 0:00,1,Choctaw Casino Poteau,CHG1059,59015,CASTLE HILL,QUACKTASTIC IFP,5,1.0.2.0,0.01,A    ,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class III
6/14/2019 0:00,1,Choctaw Casino Poteau,CHG1061,59007,CASTLE HILL,QUACKTASTIC,8,1.0.2.0,0.01,A    ,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class III
6/14/2019 0:00,1,Choctaw Casino Poteau,CHG1062,59008,CASTLE HILL,CASHHOPPER,8,1.0.2.0,0.01,A    ,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class III
6/14/2019 0:00,1,Choctaw Casino Poteau,CHG1279,59058,CASTLE HILL,WE-SIR WINS-A-LOT,3.75,23.0.5,0.5,A    ,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Poteau,CHG1280,59052,CASTLE HILL,WE-NEW MONEY,3.75,24.1.1,0.5,A    ,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Poteau,CHG1282,59057,CASTLE HILL,WE-NEW MONEY,3.75,23.0.5,0.5,A    ,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Poteau,CHG1284,59029,CASTLE HILL,PINK SAPPHIRES,4.3299999,22.5.2,1,A    ,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Poteau,CHG1284,59059,CASTLE HILL,WE-SIR WINS-A-LOT,3.75,23.0.5,0.5,A    ,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Poteau,CHG1583,59036,CASTLE HILL,PLATINUM EXPRESS,5.5900002,22.6.0 T3,0.5,A    ,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG 1012,59028,CASTLE HILL,SWEET THANG IFP,5,SSD-Games v1.0.5.0,0.01,N    ,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class III
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG 1124,59035,CASTLE HILL,ACES AND HOGS,4.3299999,22.2.0,1,O    ,45,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG 1127,59034,CASTLE HILL,ACES AND HOGS,4.3299999,22.2.0,1,O    ,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1012,59012,CASTLE HILL,SWEET THANG,7.5,1.0.2.0,0.01,Q    ,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class III
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1014,59014,CASTLE HILL,QUACKTASTIC,7.5,1.0.2.0,0.01,Q    ,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class III
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1040,59085,CASTLE HILL,DBL HOTNESS,3.6099999,6.0.2,1,J    ,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1099,59086,CASTLE HILL,GOLDEN SEVENS,3.6099999,6.0.2,2,J    ,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1145,59058,CASTLE HILL,AMAZING HOT,4.3299999,GAMES V22.5.0,2,L    ,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1158,59056,CASTLE HILL,DUBLIN YOUR LUCK,4.3299999,GAMES V22.5.0,1,L    ,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1177,59037,CASTLE HILL,ACES AND HOGS-MR,4.3299999,22.3.0,1,C    ,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1178,59051,CASTLE HILL,NEW MONEY-MR,4.3299999,GAMES V22.5.0,1,C    ,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1184,59050,CASTLE HILL,ARCTIC CASH-MR,3.6099999,GAMES V22.5.1,2,C    ,57,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1204,59222,CASTLE HILL,20K SHAMROCKS,3.6099999,V23.0.4,5,I    ,29,8,36245,37110,2420,15041.08,0,0,0,0,15503.25,2946,-865,15,-880,1,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1214,59137,CASTLE HILL,MR MARTINI VEGAS BABY,3.6099999,V22.6.0,2,G    ,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1215,59150,CASTLE HILL,HOT NEW CASH,3.6099999,V22.6.0,2,C    ,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1270,59090,CASTLE HILL,DBL HOTNESS,3.6099999,25.0.0,1,M    ,37,2,8616,8671,1066,2177.47,0,0,0,0,3313.3,3869,-55,7,-62,1,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1271,59095,CASTLE HILL,CASHPRESSO,4.3299999,V22.5.2,2,M    ,37,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1289,59089,CASTLE HILL,GENIES GEMS,3.6099999,V22.5.1,1,M    ,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1317,59163,CASTLE HILL,BEANS & FRANKS,5.5900002,V22.6.0,0.5,P    ,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1324,59212,CASTLE HILL,LUCKY BUNNY WINNERS EDITION,4.7800002,V23.0.5,0.01,R    ,53,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1339,59159,CASTLE HILL,HOT NEW CASH,4.6100001,V22.6.0,0.5,O    ,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1339,59298,CASTLE HILL,HOT NEW CASH,4.6100001,25.0.0,0.5,O    ,45,4,699.5,547.5,1054,1916.7,0,0,0,0,2715.12,608,152,0,152,1,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1340,59157,CASTLE HILL,BEANS & FRANKS,5.5900002,V22.6.0,0.5,O    ,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1341,59156,CASTLE HILL,NUGGET MOUNTAIN,5.5900002,V22.6.0,0.5,O    ,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1343,59229,CASTLE HILL,NEW MONEY ,4.0599999,V23.0.5,0.25,J    ,39,5,10503.75,9235.5,1458,4972.2,0,0,0,0,5017.14,3819,1268.25,0,1268.25,1,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1344,59124,CASTLE HILL,DBL HOTNESS-MR,3.6099999,V22.5.1,1,O    ,45,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1346,59187,CASTLE HILL,NEW MONEY WINNERS EDITION,4.7600002,V23.0.0,0.5,J    ,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1346,59230,CASTLE HILL,NEW MONEY WINNERS EDITION,3.75,V23.0.5,1,J    ,39,6,7870,7952,1373,4722.67,0,0,0,0,4381.67,1343,-82,0,-82,1,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1347,59097,CASTLE HILL,GOLDEN SEVENS-MR,3.6099999,V22.5.1,1,J    ,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1348,59098,CASTLE HILL,COIN SLINGER-MR,3.6099999,V22.5.1,1,J    ,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1348,59226,CASTLE HILL,COIN SLINGER,3.6099999,V23.0.4,2,J    ,39,2,7080,8974,2565,2264.51,0,0,0,0,5217.76,2067,-1894,20,-1914,1,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1349,59227,CASTLE HILL,HOT NEW CASH,3.6099999,V23.0.4,5,J    ,39,3,7710,9060,5190,2431.95,0,0,0,0,5371.95,1053,-1350,30,-1380,1,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1506,59215,CASTLE HILL,10K RUBIES,3.6099999,24.1.2,1,E    ,17,5,8632,8333,1682,8898.37,0,0,0,0,9632.08,4078,299,0,299,1,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1517,59129,CASTLE HILL,DUBLIN YOUR LUCK,5.3400002,V22.6.0,0.5,E    ,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1592,59139,CASTLE HILL,NUGGET MOUNTAIN,5.5900002,V22.6.0,0.25,D    ,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1592,59173,CASTLE HILL,LUCKY BUNNY WINNERS EDITION,4.7800002,V23.0.0,0.01,D    ,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1593,59140,CASTLE HILL,NUGGET MOUNTAIN,5.5900002,V22.6.0,0.25,D    ,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1593,59204,CASTLE HILL,ACES & HOGS WINNERS EDITION,6.0799999,23.0.5,0.01,D    ,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1605,59200,CASTLE HILL,THE WINNER CHANNEL WINNERS ED.,6.0799999,V23.0.5,0.01,C    ,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Durant,CHG1607,59207,CASTLE HILL,MR MARTINI WINNERS EDITION,4.7199998,V23.0.5,0.05,R    ,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1004,59130,CASTLE HILL,HOT NEW CASH,3.75,24.1.2,2,D    ,15,1,9200,7620,160,562.46,0,0,0,0,1018.8,389,1580,0,1580,1,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1034,59038,CASTLE HILL,ACES & HOGS,4.3299999,22.5.0,1,E    ,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1036,59040,CASTLE HILL,AMAZING HOT,4.3299999,22.5.0,1,E    ,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1037,59007,CASTLE HILL,CASH HOPPER,7.5,1.0.2.0,0.01,E    ,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class III
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1041,59027,CASTLE HILL,SOAP BOX SALLY IFP,5,1.0.5.0,0.01,E    ,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class III
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1044,59030,CASTLE HILL,SOAP BOX SALLY IFP,5,1.0.5.0,0.01,H    ,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class III
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1044,59048,CASTLE HILL,COIN SLINGER MR,3.6099999,22.5.1,2,H    ,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1109,59058,CASTLE HILL,COIN SLINGER MR,3.6099999,22.5.1,2,C    ,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1115,59056,CASTLE HILL,COIN SLINGER MR,3.6099999,22.5.1,1,C    ,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1116,59057,CASTLE HILL,NICE ICE MR,4.3299999,22.5.2,2,C    ,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1129,59062,CASTLE HILL,GENIES GEMS MR,3.6099999,22.5.1,2,C    ,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1208,59098,CASTLE HILL,ROYAL HOTNESS,3.79,24.1.2,2,J    ,33,5,10194,9964,2073,4955.29,0,0,0,0,6608.79,2926,230,5,225,1,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1477,59097,CASTLE HILL,SIR WINS A LOT WE,3.75,24.1.2,1,J    ,33,4,6615,7171,760,1607.26,0,0,0,0,2870.36,821,-556,0,-556,1,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1479,59091,CASTLE HILL,NEW MONEY WE,3.75,24.1.2,1,J    ,33,3,4420,5371,260,1761.75,0,0,0,0,3075.71,714,-951,20,-971,1,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1480,59069,CASTLE HILL,CASHPRESSO,4.3299999,V22.6.0T1,1,J    ,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1485,59084,CASTLE HILL,GENIES DELIGHT,4.6100001,23.0.4T5,0.25,C    ,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1825,59102,CASTLE HILL,CASHTASTIC,6.5,24.0.0,0.01,C    ,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG1828,59127,CASTLE HILL,AMAZING CASH WINNER,6.0799999,24.1.2,0.01,C    ,17,10,5699.8,5428.7,661,1216.48,0,0,0,0,1696.79,5205,271.1,20,251.1,1,Class II
6/14/2019 0:00,1,Choctaw Casino Resort - Pocola,CHG2100,59113,CASTLE HILL,SMASH THE CASH,3.75,24.1.2,1,D    ,15,3,7510,7545,267,1712.62,0,0,0,0,2544.13,748,-35,60,-95,1,Class II
6/14/2019 0:00,1,Choctaw Casino Stigler,CHG1120,59008,CASTLE HILL,SOAP BOX SALLY IFP,5,SSD-GAMES V1.0.5.0,0.01,A    ,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class III
